기록일,매입ID,상태,매입처,제품번호,품목,규격,칫수,단위,수량,중량,단가(원),공급가(원),부가세(원),합계(원),결제방식,사업자,입고일자,거래명세서수취,결제예정일,결제완료,세금계산서수취,세금계산서번호,출금통장,미지급금(원),지연일수,메모
2026-05-08,20260508-001,결제완료,영남펌프카,,철근,SD400,16*8,EA,110,,6650,731500,0,731500,현금,B계좌,2026-05-08,,2026-05-08,O,,,B계좌,0,,건천 영남펌프카
2026-05-08,20260508-002,결제완료,영남펌프카,,철근,SD400,19*8,EA,26,,9620,250000,0,250000,현금,B계좌,2026-05-08,,2026-05-08,O,,,B계좌,0,,건천 영남펌프카
2026-05-07,20260507-001,결제완료,(주)엠에스스틸,,철근,SD400,13*8,Kg,,26740,825,22060500,2206050,24266550,현금,사업자,2026-05-07,,2026-05-07,O,O,,사업자A,0,,
2026-05-07,20260507-002,결제완료,(주)엠에스스틸,,철근,SD400,13*8,Kg,,13370,825,11030250,1103025,12133275,현금,사업자,2026-05-07,,2026-05-07,O,O,,사업자A,0,,
2026-05-07,20260507-003,결제완료,(주)엠에스스틸,,철근,SD400,13*8,Kg,,13370,835,11163950,1116395,12280345,현금,사업자,2026-05-07,,2026-05-07,O,O,,사업자A,0,,
